[2026-05-15 12:58:19] [INFO] ================================================================================
[2026-05-15 12:58:19] [INFO] STEP step_002_secondary_spectra STARTED
[2026-05-15 12:58:19] [INFO] Description: Secondary spectrum computation S(τ, f_D)
[2026-05-15 12:58:19] [INFO] Physics: 2D Fourier transform of covariance C(Δt, Δν) = ⟨δI δI⟩
[2026-05-15 12:58:19] [INFO] Method: Vectorized FFT with conjugate symmetry optimization
[2026-05-15 12:58:19] [INFO] ================================================================================
[2026-05-15 12:58:19] [INFO]       Auto-selected 8 FFT worker processes (TEP_WORKERS / TEP_STEP002_MAX_WORKERS override)
[2026-05-15 12:58:19] [INFO] ═══ ======================================================================
[2026-05-15 12:58:19] [INFO] ═══ STEP 002: Secondary Spectrum Generation & Arc Detection
[2026-05-15 12:58:19] [INFO] ═══ ======================================================================
[2026-05-15 12:58:19] [INFO]       M4 Pro Optimized Vectorized FFT Parallel: 8 workers
[2026-05-15 12:58:19] [INFO]       Min SNR threshold: 1.5, Sub-bands: 1
[2026-05-15 12:58:19] [INFO]       Processing 10201 J0437 epochs...
[2026-05-15 12:58:20] [INFO]       OK   a050901_182318.rf.pcm: sb0:31al
[2026-05-15 12:58:20] [INFO]       OK   a050901_171024.rf.pcm: sb0:38al
[2026-05-15 12:58:20] [INFO]       OK   a050901_185955.rf.pcm: sb0:21al
[2026-05-15 12:58:20] [INFO]       OK   a050901_193603.rf.pcm: sb0:27al
[2026-05-15 12:58:20] [INFO]       SKIP a050903_170928.rf.pcm: too small (15x128)
[2026-05-15 12:58:20] [INFO]       OK   a050828_005528.rf.pcm: sb0:158al
[2026-05-15 12:58:20] [INFO]       OK   a050901_201230.rf.pcm: sb0:28al
[2026-05-15 12:58:20] [INFO]       OK   a050901_204848.rf.pcm: sb0:28al
[2026-05-15 12:58:20] [INFO]       OK   a050903_191813.rf.pcm: sb0:30al
[2026-05-15 12:58:20] [INFO]       OK   a050827_210632.rf.pcm: sb0:195al
[2026-05-15 12:58:20] [INFO]       OK   a050828_194804.rf.pcm: sb0:181al
[2026-05-15 12:58:20] [INFO]       OK   a050902_175434.rf.pcm: sb0:75al
[2026-05-15 12:58:20] [INFO]       OK   a050902_194813.rf.pcm: sb0:63al
[2026-05-15 12:58:20] [INFO]       OK   a050907_155313.rf.pcm: sb0:77al
[2026-05-15 12:58:20] [INFO]       SKIP a050907_204933.rf.pcm: too small (15x512)
[2026-05-15 12:58:20] [INFO]       OK   a050907_162933.rf.pcm: sb0:31al
[2026-05-15 12:58:20] [INFO]       OK   a050907_170523.rf.pcm: sb0:70al
[2026-05-15 12:58:20] [INFO]       OK   a050907_174143.rf.pcm: sb0:82al
[2026-05-15 12:58:20] [INFO]       OK   a050907_181843.rf.pcm: sb0:89al
[2026-05-15 12:58:20] [INFO]       OK   a050907_210833.rf.pcm: sb0:4al
[2026-05-15 12:58:20] [INFO]       OK   a050907_200543.rf.pcm: sb0:4al
[2026-05-15 12:58:20] [INFO]       OK   a050907_193004.rf.pcm: sb0:90al
[2026-05-15 12:58:20] [INFO]       OK   a050907_231844.rf.pcm: sb0:16al
[2026-05-15 12:58:20] [INFO]       OK   a050907_185423.rf.pcm: sb0:77al
[2026-05-15 12:58:20] [INFO]       OK   a050907_213041.rf.pcm: sb0:87al
[2026-05-15 12:58:20] [INFO]       OK   a050907_224243.rf.pcm: sb0:41al
[2026-05-15 12:58:20] [INFO]       OK   a050907_220623.rf.pcm: sb0:54al
[2026-05-15 12:58:20] [INFO]       OK   a050907_233549.rf.pcm: sb0:50al
[2026-05-15 12:58:21] [INFO]       OK   a050908_001143.rf.pcm: sb0:34al
[2026-05-15 12:58:21] [INFO]       OK   a051003_182303.rf.pcm: sb0:45al
[2026-05-15 12:58:21] [INFO]       OK   a051004_171354.rf.pcm: sb0:92al
[2026-05-15 12:58:21] [INFO]       OK   a051002_201433.rf.pcm: sb0:41al
[2026-05-15 12:58:21] [INFO]       OK   a051004_182113.rf.pcm: sb0:108al
[2026-05-15 12:58:21] [INFO]       SKIP a051108_174453.rf.pcm: too small (10x512)
